Region,Product_Category,Month,Marketing_Spend,Price,Quantity_Sold,Revenue,Cost,Profit,Customer_Satisfaction
West,Technology,3,10349.35,383.54,54,20710.94,13768.49,-3406.89,5.17
North,Office Supplies,10,12336.59,394.17,55,21679.45,11003.58,-1660.72,4.72
East,Technology,3,36778.69,269.47,51,13743.16,8144.89,-31180.42,6.46
West,Furniture,8,13066.5,401.0,51,20451.09,11033.66,-3649.07,5.32
West,Furniture,3,27568.2,40.09,46,1844.2,1392.75,-27116.74,5.48
East,Office Supplies,3,5547.05,338.64,45,15238.79,9233.0,458.74,4.72
North,Furniture,5,8075.89,392.96,45,17683.25,12477.89,-2870.53,8.67
North,Office Supplies,2,14243.06,193.81,55,10659.73,7827.43,-11410.76,7.71
West,Technology,8,17434.36,218.85,50,10942.47,8657.71,-15149.6,9.0
North,Furniture,9,38204.82,353.75,48,16980.21,10515.57,-31740.18,5.76
North,Office Supplies,2,17935.77,330.09,37,12213.49,9592.8,-15315.09,6.01
East,Technology,6,36310.89,231.72,39,9037.12,6258.11,-33531.88,5.64
East,Furniture,9,36798.34,306.95,46,14119.87,9591.63,-32270.11,9.18
North,Technology,3,9765.76,81.64,65,5306.61,4059.02,-8518.17,7.59
South,Furniture,9,7272.0,315.61,48,15149.08,10037.74,-2160.66,5.01
East,Technology,10,22956.59,420.7,43,18090.18,14347.36,-19213.77,5.7
East,Technology,9,24530.94,133.06,49,6520.05,3277.74,-21288.63,6.79
West,Technology,11,33695.97,124.8,55,6864.05,3842.37,-30674.29,7.54
East,Office Supplies,1,14648.29,139.05,44,6118.16,3901.44,-12431.57,7.85
East,Furniture,10,31869.31,299.43,47,14073.1,10772.8,-28569.02,6.8
East,Technology,8,14012.69,310.31,55,17066.93,11203.33,-8149.08,3.39
East,Furniture,10,24237.3,107.08,57,6103.42,4635.9,-22769.78,8.5
East,Furniture,10,27474.43,269.84,41,11063.34,6923.63,-23334.71,6.64
East,Furniture,11,31948.04,104.54,52,5436.28,3483.88,-29995.64,8.47
South,Furniture,9,16710.65,83.95,42,3525.84,1959.29,-15144.09,5.49
North,Furniture,7,37425.45,414.11,49,20291.47,10194.22,-27328.2,6.84
South,Office Supplies,9,21059.87,180.13,46,8285.78,6511.33,-19285.42,8.17
West,Furniture,10,21808.41,139.39,44,6133.24,4729.14,-20404.31,7.46
North,Furniture,7,42705.88,430.09,55,23654.86,16160.15,-35211.17,3.77
North,Office Supplies,5,23499.21,362.35,48,17393.04,10938.18,-17044.35,7.93
North,Furniture,12,28172.0,84.87,38,3225.23,1772.99,-26719.76,7.62
South,Office Supplies,10,20942.21,57.15,44,2514.42,1715.66,-20143.44,4.93
East,Furniture,12,30736.05,493.19,48,23673.22,18025.75,-25088.58,6.15
East,Furniture,8,36596.57,89.99,50,4499.42,3424.77,-35521.92,7.82
North,Technology,5,10274.18,171.92,41,7048.61,3960.44,-7186.01,10.0
North,Furniture,1,35550.4,387.63,52,20156.68,14149.46,-29543.18,8.41
East,Furniture,12,44670.36,367.0,54,19818.09,12674.0,-37526.26,6.66
South,Technology,3,10732.39,146.33,51,7462.67,5568.49,-8838.21,6.38
East,Technology,9,41159.19,451.38,43,19409.26,14813.25,-36563.18,3.21
West,Office Supplies,9,38438.67,424.72,49,20811.49,16581.87,-34209.05,6.9
East,Furniture,8,8092.12,187.94,49,9209.02,6418.86,-5301.96,6.14
East,Office Supplies,11,42411.55,421.95,47,19831.7,10483.27,-33063.11,4.51
South,Technology,7,35486.3,380.46,55,20925.21,14621.39,-29182.48,9.73
East,Furniture,10,45870.28,380.56,52,19789.33,15173.24,-41254.19,9.8
South,Furniture,11,17192.42,105.12,46,4835.33,2729.42,-15086.51,8.66
South,Furniture,12,37595.5,374.15,51,19081.54,10305.85,-28819.8,4.27
South,Technology,6,28996.31,320.2,55,17610.84,11598.8,-22984.28,3.89
West,Technology,10,17530.59,329.08,58,19086.7,13991.26,-12435.15,6.77
East,Furniture,8,8977.32,350.98,47,16496.04,8402.17,-883.45,8.96
East,Furniture,6,23685.84,444.79,58,25797.8,19540.19,-17428.23,6.47
South,Office Supplies,8,19638.08,450.98,58,26156.59,17603.66,-11085.15,9.13
West,Furniture,11,49950.17,166.69,55,9167.75,6943.72,-47726.13,6.85
North,Office Supplies,4,45126.99,425.34,48,20416.49,10699.6,-35410.1,6.24
North,Office Supplies,6,5647.17,383.35,53,20317.81,10396.25,4274.4,7.58
East,Office Supplies,5,43899.5,295.53,56,16549.88,11787.14,-39136.76,8.64
East,Technology,4,30626.8,434.86,47,20438.58,14011.83,-24200.06,6.23
North,Furniture,4,43747.04,233.28,64,14929.77,11716.29,-40533.56,10.0
North,Furniture,11,35488.92,189.7,64,12140.52,7892.65,-31241.05,8.67
North,Furniture,10,29960.95,375.16,57,21384.02,12001.78,-20578.71,8.62
South,Furniture,2,35049.23,419.5,42,17618.86,12927.5,-30357.87,9.33
West,Furniture,4,48241.41,270.29,50,13514.39,7380.31,-42107.32,8.28
North,Technology,6,33915.99,43.89,55,2413.74,1637.06,-33139.31,6.43
South,Furniture,1,32308.11,441.08,60,26464.9,14909.52,-20752.73,7.27
North,Office Supplies,8,13849.41,370.03,45,16651.17,13307.14,-10505.38,7.43
West,Office Supplies,5,7807.73,170.96,57,9744.9,7614.56,-5677.4,7.11
East,Furniture,11,40523.42,211.03,42,8863.17,4578.42,-36238.67,8.85
North,Furniture,9,48549.27,222.67,45,10020.22,5990.85,-44519.9,3.19
West,Technology,8,10835.55,131.95,47,6201.61,3217.21,-7851.15,7.89
East,Furniture,6,43909.65,81.69,38,3104.15,1833.7,-42639.21,6.16
West,Furniture,5,26532.33,391.38,46,18003.26,9018.59,-17547.66,7.17
North,Office Supplies,10,42007.15,33.2,48,1593.81,1143.56,-41556.9,6.85
West,Furniture,3,49629.78,333.78,43,14352.53,7720.33,-42997.57,9.28
West,Furniture,11,28524.21,238.08,53,12618.21,8909.86,-24815.86,7.54
West,Office Supplies,9,43690.76,206.37,46,9492.95,6917.83,-41115.65,6.63
North,Technology,5,27956.68,369.44,50,18471.94,11467.98,-20952.72,6.55
West,Office Supplies,8,21747.8,332.53,41,13633.54,7574.54,-15688.8,5.64
North,Furniture,2,45643.59,303.91,52,15803.12,9661.25,-39501.71,5.93
South,Furniture,3,47250.27,447.52,46,20586.04,13833.14,-40497.37,10.0
East,Furniture,4,5029.4,435.98,57,24850.93,18018.9,1802.62,10.0
South,Technology,1,20804.87,51.42,50,2570.97,1316.38,-19550.29,5.6
South,Office Supplies,11,31547.65,8.19,56,458.38,313.8,-31403.07,6.0
South,Furniture,1,36683.75,467.91,47,21991.78,14134.26,-28826.22,8.7
West,Office Supplies,1,27976.13,309.49,61,18878.82,12278.46,-21375.77,8.13
East,Furniture,1,43384.19,464.55,56,26014.79,15629.74,-32999.14,9.3
North,Technology,8,17647.24,90.88,47,4271.39,2638.13,-16013.98,6.71
East,Office Supplies,11,34318.21,109.34,51,5576.18,4185.03,-32927.06,6.7
South,Technology,3,28613.1,388.75,44,17104.82,8706.88,-20215.17,7.95
East,Furniture,8,46994.23,136.42,52,7093.88,4222.74,-44123.09,7.5
South,Technology,11,20289.66,230.53,54,12448.7,7519.83,-15360.79,7.8
West,Furniture,3,19034.57,173.29,38,6584.87,3808.13,-16257.83,8.49
East,Furniture,4,13932.1,86.62,44,3811.19,2217.67,-12338.58,6.3
East,Furniture,9,46095.47,98.75,61,6023.73,3505.28,-43577.02,6.17
East,Furniture,11,7502.25,8.4,43,361.4,225.28,-7366.13,5.69
South,Office Supplies,2,45300.33,455.04,46,20931.92,12171.7,-36540.11,6.25
South,Technology,9,43841.1,412.13,42,17309.66,9262.0,-35793.44,6.26
North,Office Supplies,10,18497.39,300.06,49,14702.97,7865.72,-11660.14,8.37
West,Office Supplies,7,34639.76,466.12,57,26568.82,18521.37,-26592.31,7.16
East,Furniture,10,19705.76,10.35,39,403.71,258.05,-19560.1,9.27
West,Office Supplies,11,28953.13,56.12,42,2356.88,1387.98,-27984.24,7.9
North,Technology,6,24059.66,397.82,44,17503.97,9359.55,-15915.24,7.03
South,Technology,1,16378.62,290.93,47,13673.6,10203.36,-12908.38,6.3
South,Office Supplies,8,12123.68,30.63,51,1562.33,1172.34,-11733.68,8.05
East,Furniture,8,41378.26,412.69,48,19809.3,11707.01,-33275.97,6.64
East,Furniture,5,47018.72,343.51,51,17519.21,11259.22,-40758.74,5.28
West,Furniture,2,19944.94,464.41,58,26935.8,15400.35,-8409.49,6.53
East,Office Supplies,11,6981.82,348.2,53,18454.65,12999.56,-1526.73,6.04
East,Office Supplies,2,9764.34,180.67,48,8672.37,6048.53,-7140.5,4.21
West,Office Supplies,4,30034.76,19.43,61,1185.34,670.93,-29520.35,9.78
East,Furniture,8,27609.23,367.09,67,24594.75,18836.0,-21850.48,7.24
West,Office Supplies,7,33593.65,316.76,48,15204.54,10025.69,-28414.8,5.9
West,Furniture,11,45211.76,330.74,44,14552.44,10629.66,-41288.98,9.73
South,Furniture,2,16227.64,276.0,45,12419.93,7011.81,-10819.52,7.23
South,Office Supplies,11,49025.97,483.04,48,23186.15,13998.45,-39838.26,8.49
South,Furniture,3,47604.03,203.11,56,11373.88,9066.12,-45296.27,7.11
East,Furniture,1,24394.28,155.72,43,6696.12,5130.14,-22828.29,6.5
North,Office Supplies,4,29590.63,211.51,42,8883.45,5556.1,-26263.28,7.58
North,Furniture,10,20324.52,403.46,35,14121.0,8482.3,-14685.82,7.38
South,Office Supplies,11,6066.85,418.3,74,30954.12,17626.59,7260.68,6.11
East,Technology,3,22680.28,19.18,52,997.51,734.38,-22417.15,6.84
East,Office Supplies,10,31475.85,201.85,45,9083.42,5281.53,-27673.96,6.64
South,Office Supplies,8,9193.83,208.2,42,8744.21,5205.13,-5654.75,8.17
West,Technology,8,46867.93,52.2,49,2557.98,1947.15,-46257.1,2.64
East,Office Supplies,4,36221.25,278.62,44,12259.16,7219.64,-31181.72,6.44
East,Technology,4,38025.74,176.55,48,8474.24,4672.6,-34224.1,7.47
East,Office Supplies,2,13704.59,322.54,45,14514.51,11157.41,-10347.49,8.82
West,Technology,7,10001.17,325.81,59,19222.91,10425.2,-1203.47,5.57
North,Office Supplies,11,21221.35,337.28,45,15177.56,12108.27,-18152.06,7.17
South,Office Supplies,7,10277.61,88.69,47,4168.22,2718.2,-8827.59,6.45
South,Furniture,2,19862.81,284.29,58,16489.1,12866.93,-16240.65,9.25
East,Technology,11,30028.58,390.86,43,16807.01,9679.29,-22900.86,8.35
West,Office Supplies,10,45030.95,472.24,56,26445.69,13233.53,-31818.78,7.68
West,Furniture,12,39586.16,117.0,54,6318.26,4344.43,-37612.33,5.79
North,Furniture,6,10490.33,352.18,43,15143.94,9440.92,-4787.31,8.06
North,Furniture,9,33022.95,404.34,58,23452.01,17195.87,-26766.82,8.79
South,Office Supplies,2,34872.1,482.82,52,25106.89,16321.58,-26086.79,8.38
South,Furniture,5,32041.04,173.77,62,10774.02,5850.12,-27117.15,5.5
South,Office Supplies,4,32246.66,157.4,58,9129.42,6156.5,-29273.74,8.55
East,Technology,11,8675.03,462.52,46,21276.02,13461.55,-860.56,7.13
North,Technology,7,30046.03,174.65,41,7160.72,5366.64,-28251.95,6.68
East,Furniture,5,9654.54,204.0,55,11220.19,6008.03,-4442.37,5.05
South,Furniture,7,41687.43,447.73,51,22834.24,14047.92,-32901.11,5.86
South,Technology,5,22492.69,123.95,39,4833.97,2557.14,-20215.85,9.13
South,Office Supplies,4,31222.15,407.17,46,18730.03,11627.81,-24119.93,3.27
North,Furniture,8,19185.77,70.94,53,3759.76,2532.38,-17958.39,8.65
North,Office Supplies,4,24167.2,497.37,39,19397.38,13619.1,-18388.92,8.59
North,Furniture,12,24936.52,310.47,58,18007.11,9681.79,-16611.2,10.0
West,Technology,4,34335.54,417.05,36,15013.67,8838.54,-28160.41,6.04
East,Furniture,2,27415.85,346.21,44,15233.18,10420.89,-22603.55,9.38
West,Office Supplies,11,45848.09,498.3,54,26908.2,16176.96,-35116.86,7.86
East,Technology,5,5942.04,161.31,54,8710.62,6120.94,-3352.36,9.14
South,Furniture,11,21651.1,277.48,57,15816.56,10659.09,-16493.63,6.13
North,Furniture,9,7791.65,172.96,50,8647.81,6031.24,-5175.09,5.27
East,Furniture,8,49361.24,5.09,52,264.8,168.74,-49265.18,4.47
South,Furniture,7,23673.22,366.59,41,15030.34,8329.15,-16972.02,7.27
South,Furniture,11,20213.8,67.78,48,3253.34,2343.41,-19303.87,4.44
East,Furniture,10,14671.24,25.77,47,1211.29,647.97,-14107.92,5.72
West,Office Supplies,11,30463.28,454.47,48,21814.52,11846.18,-20494.93,5.46
East,Office Supplies,11,21719.59,309.13,50,15456.4,9907.16,-16170.35,4.85
South,Office Supplies,2,33354.19,415.18,56,23250.26,18187.84,-28291.77,7.02
North,Office Supplies,10,49448.73,166.21,48,7978.27,5907.95,-47378.41,3.26
South,Technology,9,45277.94,78.82,56,4414.18,2659.78,-43523.54,5.53
South,Technology,12,41647.41,143.77,41,5894.39,4085.92,-39838.93,6.17
East,Office Supplies,11,25669.91,377.3,61,23015.53,12867.21,-15521.6,6.78
East,Office Supplies,2,16901.23,254.26,37,9407.46,7343.59,-14837.36,3.35
North,Office Supplies,11,48107.56,272.85,52,14188.27,9757.21,-43676.5,4.73
North,Furniture,6,7681.42,304.16,56,17032.84,9675.19,-323.77,6.11
North,Office Supplies,3,13300.66,105.14,48,5046.5,3125.49,-11379.65,7.35
North,Technology,3,44760.41,138.96,43,5975.15,3000.72,-41785.99,7.07
West,Technology,3,44511.51,281.15,68,19118.03,10121.13,-35514.61,6.36
South,Furniture,9,45624.37,264.83,49,12976.45,8782.0,-41429.92,3.9
South,Technology,1,40841.8,379.6,54,20498.14,10612.54,-30956.19,4.08
South,Office Supplies,5,47704.13,75.57,47,3551.58,1857.57,-46010.12,5.33
East,Technology,8,34383.78,291.91,40,11676.46,6431.99,-29139.31,9.66
West,Furniture,2,40888.13,340.39,51,17359.64,13483.76,-37012.25,6.73
North,Office Supplies,11,42968.98,165.84,55,9121.02,6286.35,-40134.3,6.46
East,Office Supplies,6,13140.14,400.58,46,18426.83,11535.25,-6248.56,8.8
East,Technology,1,48073.86,445.62,53,23617.77,16596.88,-41052.97,7.42
South,Office Supplies,12,49843.68,71.93,54,3884.36,2097.18,-48056.5,9.05
East,Office Supplies,7,31505.9,469.64,47,22073.04,15379.85,-24812.72,5.25
East,Office Supplies,11,30662.91,109.0,55,5995.17,3635.77,-28303.51,7.5
South,Office Supplies,9,38513.15,209.14,43,8993.0,4848.59,-34368.74,9.18
North,Office Supplies,4,16759.99,212.45,52,11047.62,6478.94,-12191.3,7.0
North,Technology,6,9108.9,162.75,39,6347.3,4266.37,-7027.97,6.66
North,Office Supplies,2,37148.63,184.02,40,7360.61,5098.15,-34886.17,6.93
South,Office Supplies,2,45079.63,300.49,57,17127.81,12416.94,-40368.76,4.32
East,Technology,1,19733.94,86.49,42,3632.46,2235.49,-18336.97,10.0
North,Furniture,6,32693.94,45.38,38,1724.42,1130.23,-32099.74,4.95
West,Furniture,12,5657.4,183.39,52,9536.07,7238.29,-3359.63,5.33
North,Office Supplies,3,30083.22,354.97,53,18813.55,14406.93,-25676.61,5.45
North,Technology,4,49862.72,361.48,45,16266.51,8373.45,-41969.67,7.5
North,Office Supplies,3,45645.06,17.19,43,738.99,448.55,-45354.62,6.66
West,Technology,4,28049.66,341.84,63,21535.75,15960.72,-22474.63,6.7
South,Office Supplies,5,39463.64,347.37,70,24315.87,13111.49,-28259.26,5.89
South,Technology,10,30877.73,107.37,50,5368.74,3372.86,-28881.84,8.94
East,Furniture,11,5306.66,264.09,62,16373.37,12240.13,-1173.42,8.15
East,Technology,12,45364.79,423.83,47,19920.08,10333.13,-35777.84,5.52
West,Furniture,12,31998.55,245.4,51,12515.16,9528.97,-29012.37,6.95
South,Furniture,4,11601.28,346.71,65,22536.14,13510.08,-2575.22,10.0
South,Office Supplies,3,18772.12,36.52,42,1534.01,971.98,-18210.1,7.01
West,Technology,6,34804.12,377.15,46,17349.06,9359.92,-26814.98,8.54
West,Furniture,4,33124.09,320.98,46,14765.24,11632.67,-29991.52,8.31
West,Furniture,7,22252.87,88.3,58,5121.28,2851.32,-19982.91,7.14
East,Technology,3,40687.84,490.71,63,30915.02,19187.94,-28960.75,9.71
South,Office Supplies,1,18690.88,73.93,52,3844.21,2298.2,-17144.87,6.69
South,Office Supplies,8,36283.44,316.67,59,18683.3,14821.03,-32421.17,6.13
North,Furniture,4,29491.58,488.01,47,22936.49,13835.92,-20391.01,2.92
North,Office Supplies,9,11226.72,491.46,44,21624.07,15114.01,-4716.66,8.41
West,Furniture,4,23998.65,393.61,43,16925.09,11756.57,-18830.14,5.2
South,Office Supplies,2,46887.08,332.1,55,18265.24,13766.44,-42388.28,3.53
North,Office Supplies,9,30684.27,241.96,59,14275.58,9509.63,-25918.32,4.28
South,Office Supplies,6,37978.66,438.72,55,24129.34,17172.1,-31021.42,7.16
West,Technology,2,8285.16,373.29,54,20157.88,14610.71,-2737.99,8.14
West,Technology,8,41108.08,173.92,49,8521.88,5561.96,-38148.16,5.78
East,Furniture,7,35221.45,20.7,51,1055.83,783.87,-34949.49,7.97
South,Furniture,10,29227.77,496.11,59,29270.32,20837.88,-20795.33,4.21
South,Technology,11,19664.66,477.25,40,19090.04,14723.01,-15297.64,4.99
South,Office Supplies,9,18111.25,211.61,47,9945.69,7673.99,-15839.55,7.24
North,Office Supplies,9,29166.86,420.8,47,19777.55,15785.16,-25174.47,8.69
East,Furniture,8,10512.4,319.28,40,12771.15,9869.91,-7611.17,5.2
North,Technology,4,43909.36,63.74,42,2676.95,1931.06,-43163.46,6.73
South,Furniture,12,39624.92,467.72,61,28531.15,21867.91,-32961.68,5.35
West,Technology,7,27666.88,439.82,66,29027.85,18393.08,-17032.12,9.46
South,Technology,1,27650.53,399.24,55,21958.09,12005.19,-17697.63,8.13
North,Furniture,6,40690.78,114.15,43,4908.53,3882.08,-39664.34,8.35
East,Office Supplies,9,36768.03,254.33,58,14750.9,10120.19,-32137.32,8.59
West,Furniture,10,39558.65,316.14,53,16755.44,11047.41,-33850.62,8.08
East,Furniture,11,8106.66,170.72,46,7853.15,4765.19,-5018.71,7.81
East,Furniture,2,35996.47,278.21,44,12241.17,9674.48,-33429.78,8.18
West,Technology,11,37069.95,100.61,49,4930.1,3024.45,-35164.31,9.88
South,Office Supplies,9,35774.16,17.55,54,947.57,489.63,-35316.22,4.91
South,Technology,8,11622.35,152.5,40,6099.95,4744.65,-10267.05,7.89
North,Furniture,8,37161.31,123.91,49,6071.52,3183.21,-34273.0,7.55
West,Technology,2,14056.87,445.67,40,17826.69,11598.09,-7828.27,7.91
West,Office Supplies,11,7453.04,160.45,50,8022.58,6111.51,-5541.96,6.96
South,Furniture,12,33090.83,415.55,51,21192.83,13335.75,-25233.75,5.69
West,Office Supplies,3,24516.24,424.99,47,19974.7,15626.16,-20167.71,9.09
West,Technology,6,22777.4,30.38,48,1458.02,926.0,-22245.38,8.07
North,Office Supplies,12,32864.19,242.75,53,12865.52,6868.3,-26866.97,6.4
North,Technology,4,14721.41,483.8,48,23222.36,17866.97,-9366.03,10.0
West,Technology,8,35630.26,335.03,50,16751.61,8646.08,-27524.73,6.95
North,Office Supplies,1,42759.49,277.58,42,11658.23,7928.48,-39029.73,6.85
West,Furniture,4,23823.1,158.16,64,10122.2,6571.09,-20271.99,7.54
North,Office Supplies,8,26304.6,428.0,47,20116.05,10589.9,-16778.46,8.63
West,Office Supplies,11,35617.3,140.69,58,8160.0,6011.52,-33468.83,7.23
West,Technology,9,30188.51,429.68,53,22772.92,17898.06,-25313.65,4.25
South,Furniture,12,13679.18,50.89,51,2595.59,1376.73,-12460.32,7.87
North,Office Supplies,4,12856.54,355.18,52,18469.15,9907.31,-4294.7,7.82
South,Furniture,6,13641.05,335.01,53,17755.5,11486.67,-7372.22,3.91
North,Furniture,5,41232.85,96.96,38,3684.46,2569.89,-40118.27,7.53
South,Furniture,5,41230.26,72.74,48,3491.44,2504.79,-40243.61,7.23
South,Furniture,7,6842.03,29.58,53,1567.87,936.62,-6210.78,7.21
West,Technology,8,13081.99,144.27,49,7069.16,5195.13,-11207.96,6.58
West,Furniture,11,16490.9,414.85,49,20327.57,12617.16,-8780.49,9.43
West,Furniture,7,10308.76,27.35,49,1340.15,775.57,-9744.19,6.22
East,Office Supplies,2,20578.86,328.62,47,15445.35,11822.52,-16956.04,6.87
North,Furniture,7,39496.82,483.31,52,25131.9,14716.28,-29081.2,5.91
East,Furniture,7,16934.38,89.03,39,3472.2,1854.12,-15316.3,10.0
South,Technology,5,12406.97,36.62,46,1684.54,1102.69,-11825.11,7.39
South,Office Supplies,12,48365.83,191.61,52,9963.62,7023.7,-45425.91,6.38
South,Furniture,8,20563.65,22.43,55,1233.73,676.31,-20006.22,4.94
West,Technology,9,10907.96,158.3,56,8864.65,5232.72,-7276.02,7.25
West,Technology,6,26337.11,116.77,52,6071.82,3630.05,-23895.33,5.24
East,Office Supplies,8,14270.26,476.29,47,22385.51,16824.56,-8709.31,6.84
East,Technology,10,6549.41,225.68,38,8575.98,6637.54,-4610.97,8.71
North,Furniture,2,38814.05,470.96,54,25431.87,19873.84,-33256.03,6.42
West,Technology,1,14682.0,315.6,46,14517.44,8313.81,-8478.37,5.49
South,Technology,3,33817.13,426.0,55,23429.98,16309.05,-26696.2,4.44
South,Technology,4,27015.23,71.01,44,3124.24,2428.45,-26319.44,5.86
North,Office Supplies,10,10320.73,477.2,59,28154.97,19770.74,-1936.5,5.54
South,Technology,6,40804.71,43.35,45,1950.93,1125.54,-39979.32,7.06
East,Office Supplies,11,27587.54,455.42,55,25047.85,18518.91,-21058.61,9.16
East,Office Supplies,4,47249.46,151.0,49,7398.91,5229.08,-45079.63,5.57
North,Office Supplies,12,14179.76,414.1,51,21119.1,16716.9,-9777.56,6.73
North,Technology,1,26123.31,429.64,46,19763.42,10646.98,-17006.86,8.48
North,Office Supplies,9,12478.32,169.7,64,10860.87,8650.0,-10267.46,5.93
South,Technology,7,45101.3,232.88,34,7917.78,5670.22,-42853.74,5.73
North,Technology,9,7117.63,14.63,43,628.95,491.05,-6979.73,6.12
East,Office Supplies,3,40257.57,10.2,49,500.0,321.55,-40079.12,8.34
North,Office Supplies,10,26933.28,472.96,34,16080.6,12335.95,-23188.63,6.62
North,Technology,2,19594.8,476.31,58,27626.05,18683.17,-10651.92,6.4
West,Office Supplies,9,24780.33,257.68,45,11595.5,6100.28,-19285.11,8.78
North,Office Supplies,7,22680.92,133.06,47,6253.91,4299.97,-20726.98,7.27
South,Office Supplies,10,48233.58,271.08,49,13283.04,9563.1,-44513.64,7.65
East,Furniture,5,48012.94,122.17,60,7330.44,3787.73,-44470.23,6.22
North,Furniture,10,49562.83,307.61,47,14457.86,7968.29,-43073.26,6.55
North,Technology,12,15784.06,21.03,46,967.5,714.98,-15531.54,8.9
North,Technology,1,15619.85,76.05,43,3270.35,2138.35,-14487.84,5.51
West,Furniture,11,36813.03,328.9,59,19405.19,12322.93,-29730.78,7.32
West,Furniture,12,25605.51,200.27,59,11815.77,9334.7,-23124.44,7.86
East,Furniture,5,28128.0,346.61,58,20103.43,15413.38,-23437.94,6.49
East,Office Supplies,4,15364.37,57.67,57,3287.41,2380.71,-14457.66,6.47
East,Furniture,5,37002.2,8.36,56,468.4,343.72,-36877.52,10.0
North,Office Supplies,9,37219.31,305.63,38,11613.77,6030.2,-31635.74,7.53
South,Technology,10,17522.04,200.73,54,10839.53,6777.06,-13459.58,7.59
South,Furniture,3,8269.95,103.55,47,4866.91,3228.9,-6631.95,6.74
West,Furniture,7,37191.39,139.22,56,7796.06,3915.32,-33310.64,5.29
South,Office Supplies,3,41006.19,124.62,37,4610.98,2674.55,-39069.76,7.04
West,Technology,8,9116.94,374.57,43,16106.45,11124.56,-4135.05,6.07
East,Furniture,6,18684.26,406.76,45,18303.99,13144.2,-13524.47,6.22
West,Office Supplies,7,7365.85,56.69,51,2890.97,1842.67,-6317.55,5.04
West,Technology,3,26349.57,170.22,52,8851.41,5937.45,-23435.61,4.05
South,Furniture,3,7302.45,120.26,50,6013.25,3334.52,-4623.72,3.95
South,Technology,12,10997.79,464.23,59,27389.81,14567.66,1824.36,7.07
South,Furniture,2,45488.44,316.06,49,15487.01,10064.46,-40065.89,5.83
South,Office Supplies,5,6546.96,321.29,38,12208.89,7176.35,-1514.41,8.32
South,Office Supplies,10,24440.48,499.53,44,21979.3,14847.25,-17308.42,10.0
North,Technology,11,45979.92,220.66,41,9046.96,6268.92,-43201.89,4.8
South,Furniture,11,14893.79,225.2,61,13736.92,8462.07,-9618.93,7.69
East,Technology,6,33759.85,173.78,55,9557.69,7572.86,-31775.02,2.43
South,Furniture,11,9129.99,342.07,60,20524.31,13582.11,-2187.79,8.25
East,Furniture,4,6797.66,184.34,58,10691.45,6819.04,-2925.25,5.85
North,Technology,2,25862.99,393.21,65,25558.93,15830.9,-16134.96,6.7
West,Technology,3,26504.03,180.87,54,9766.74,6979.28,-23716.57,7.8
West,Furniture,8,20437.33,335.13,39,13070.2,7082.84,-14449.97,6.99
South,Furniture,11,41956.67,126.1,48,6053.0,4619.27,-40522.94,7.56
West,Technology,5,35224.71,170.28,45,7662.68,3888.77,-31450.81,7.17
South,Office Supplies,2,20407.78,275.51,39,10744.73,7249.79,-16912.85,9.7
West,Technology,6,23051.66,474.16,48,22759.63,14967.5,-15259.52,6.75
North,Technology,9,20732.65,300.19,45,13508.62,9733.89,-16957.92,6.67
East,Office Supplies,5,45190.12,346.26,45,15581.77,9220.42,-38828.77,7.94
East,Furniture,10,13284.56,57.3,57,3265.92,2238.74,-12257.38,9.04
South,Furniture,10,34717.47,405.55,54,21899.78,17193.34,-30011.04,6.29
North,Furniture,9,12492.66,357.55,42,15017.06,9735.73,-7211.33,6.9
South,Technology,1,5659.12,460.97,43,19821.55,11417.49,2744.94,7.26
South,Office Supplies,1,38967.24,158.18,49,7751.01,6163.81,-37380.04,8.38
South,Furniture,7,45776.19,32.45,58,1881.83,1087.11,-44981.47,6.68
West,Office Supplies,2,45814.35,88.53,65,5754.51,3397.9,-43457.74,7.41
West,Office Supplies,6,20105.71,289.42,50,14470.91,7700.94,-13335.73,4.92
North,Technology,5,29524.2,47.96,44,2110.13,1133.95,-28548.02,3.67
South,Furniture,2,35470.59,342.92,53,18174.88,9300.12,-26595.83,8.46
East,Office Supplies,9,24115.25,174.17,43,7489.12,4793.83,-21419.95,6.83
North,Office Supplies,10,35900.54,125.59,57,7158.59,5255.91,-33997.85,6.67
West,Technology,7,14798.69,43.76,51,2231.73,1416.66,-13983.63,8.15
East,Technology,5,44363.46,370.03,44,16281.26,9449.63,-37531.84,7.35
South,Technology,6,37372.47,18.92,47,889.25,483.6,-36966.82,8.08
West,Office Supplies,11,34352.65,205.57,52,10689.77,5399.13,-29062.0,6.63
South,Technology,9,14514.41,136.26,62,8448.09,6239.19,-12305.51,7.65
South,Technology,9,7779.31,368.5,50,18425.16,13533.63,-2887.77,6.02
North,Furniture,2,49162.25,316.69,48,15201.28,12097.99,-46058.95,5.78
East,Office Supplies,9,5833.91,76.09,53,4032.91,2968.02,-4769.02,5.8
North,Furniture,10,36886.26,367.28,42,15425.63,10662.05,-32122.68,5.41
East,Office Supplies,6,31200.69,153.44,59,9052.83,5586.4,-27734.25,5.53
South,Furniture,2,11494.04,51.31,44,2257.72,1627.39,-10863.71,8.25
West,Furniture,8,44688.9,479.75,43,20629.11,14425.97,-38485.76,7.49
West,Furniture,11,25492.77,261.42,55,14377.97,10347.33,-21462.13,7.21
East,Office Supplies,7,31479.41,109.33,44,4810.42,3602.92,-30271.9,4.68
